This file contains, for each analysis code and lint name:
* "has fix(es)", if the code has fix(es)
* "needs evaluation", if the code has not been evaluated in terms of fixes
* "needs fix", if the code needs a fix, with a possible issue link
* "fixes infeasible", if it has been deemed infeasible to write a fix for this code

Stats:
* 793 "needs evaluation"
* 19 "needs fix"
* 253 "has fix(es)"

AnalysisOptionsErrorCode.INCLUDED_FILE_PARSE_ERROR: needs evaluation
AnalysisOptionsErrorCode.PARSE_ERROR: needs evaluation
AnalysisOptionsHintCode.PREVIEW_DART_2_SETTING_DEPRECATED: needs evaluation
AnalysisOptionsHintCode.STRONG_MODE_SETTING_DEPRECATED: needs evaluation
AnalysisOptionsHintCode.SUPER_MIXINS_SETTING_DEPRECATED: needs evaluation
AnalysisOptionsWarningCode.ANALYSIS_OPTION_DEPRECATED: needs evaluation
AnalysisOptionsWarningCode.INCLUDE_FILE_NOT_FOUND: needs evaluation
AnalysisOptionsWarningCode.INCLUDED_FILE_WARNING: needs evaluation
AnalysisOptionsWarningCode.INVALID_OPTION: needs evaluation
AnalysisOptionsWarningCode.INVALID_SECTION_FORMAT: needs evaluation
AnalysisOptionsWarningCode.SPEC_MODE_REMOVED: needs evaluation
AnalysisOptionsWarningCode.UNRECOGNIZED_ERROR_CODE: needs evaluation
AnalysisOptionsWarningCode.UNSUPPORTED_OPTION_WITH_LEGAL_VALUE: needs evaluation
AnalysisOptionsWarningCode.UNSUPPORTED_OPTION_WITH_LEGAL_VALUES: needs evaluation
AnalysisOptionsWarningCode.UNSUPPORTED_OPTION_WITHOUT_VALUES: needs evaluation
AnalysisOptionsWarningCode.UNSUPPORTED_VALUE: needs evaluation
CompileTimeErrorCode.ABSTRACT_FIELD_CONSTRUCTOR_INITIALIZER: needs evaluation
CompileTimeErrorCode.ABSTRACT_FIELD_INITIALIZER: needs evaluation
CompileTimeErrorCode.ABSTRACT_SUPER_MEMBER_REFERENCE: needs evaluation
CompileTimeErrorCode.AMBIGUOUS_EXPORT: needs evaluation
CompileTimeErrorCode.AMBIGUOUS_EXTENSION_MEMBER_ACCESS: needs evaluation
CompileTimeErrorCode.AMBIGUOUS_IMPORT: needs evaluation
CompileTimeErrorCode.AMBIGUOUS_SET_OR_MAP_LITERAL_BOTH: needs evaluation
CompileTimeErrorCode.AMBIGUOUS_SET_OR_MAP_LITERAL_EITHER: needs evaluation
CompileTimeErrorCode.ARGUMENT_TYPE_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.ASSERT_IN_REDIRECTING_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.ASSIGNMENT_TO_CONST: needs evaluation
CompileTimeErrorCode.ASSIGNMENT_TO_FINAL: has fix(es)
CompileTimeErrorCode.ASSIGNMENT_TO_FINAL_LOCAL: has fix(es)
CompileTimeErrorCode.ASSIGNMENT_TO_FINAL_NO_SETTER: needs evaluation
CompileTimeErrorCode.ASSIGNMENT_TO_FUNCTION: needs evaluation
CompileTimeErrorCode.ASSIGNMENT_TO_METHOD: needs evaluation
CompileTimeErrorCode.ASSIGNMENT_TO_TYPE: needs evaluation
CompileTimeErrorCode.ASYNC_FOR_IN_WRONG_CONTEXT: has fix(es)
CompileTimeErrorCode.AWAIT_IN_LATE_LOCAL_VARIABLE_INITIALIZER: needs evaluation
CompileTimeErrorCode.AWAIT_IN_WRONG_CONTEXT: has fix(es)
CompileTimeErrorCode.BODY_MIGHT_COMPLETE_NORMALLY: has fix(es)
CompileTimeErrorCode.BREAK_LABEL_ON_SWITCH_MEMBER: needs evaluation
CompileTimeErrorCode.BUILT_IN_IDENTIFIER_AS_EXTENSION_NAME: needs evaluation
CompileTimeErrorCode.BUILT_IN_IDENTIFIER_AS_PREFIX_NAME: needs evaluation
CompileTimeErrorCode.BUILT_IN_IDENTIFIER_AS_TYPE: needs evaluation
CompileTimeErrorCode.BUILT_IN_IDENTIFIER_AS_TYPE_NAME: needs evaluation
CompileTimeErrorCode.BUILT_IN_IDENTIFIER_AS_TYPE_PARAMETER_NAME: needs evaluation
CompileTimeErrorCode.BUILT_IN_IDENTIFIER_AS_TYPEDEF_NAME: needs evaluation
CompileTimeErrorCode.CASE_BLOCK_NOT_TERMINATED: needs evaluation
CompileTimeErrorCode.CASE_EXPRESSION_TYPE_IMPLEMENTS_EQUALS: needs evaluation
CompileTimeErrorCode.CASE_EXPRESSION_TYPE_IS_NOT_SWITCH_EXPRESSION_SUBTYPE: needs evaluation
CompileTimeErrorCode.CAST_TO_NON_TYPE: has fix(es)
CompileTimeErrorCode.CLASS_INSTANTIATION_ACCESS_TO_INSTANCE_MEMBER: needs evaluation; new in 2.15
CompileTimeErrorCode.CLASS_INSTANTIATION_ACCESS_TO_STATIC_MEMBER: needs evaluation; new in 2.15
CompileTimeErrorCode.CLASS_INSTANTIATION_ACCESS_TO_UNKNOWN_MEMBER: needs evaluation; new in 2.15
CompileTimeErrorCode.CONCRETE_CLASS_WITH_ABSTRACT_MEMBER: has fix(es)
CompileTimeErrorCode.CONFLICTING_CONSTRUCTOR_AND_STATIC_FIELD: needs evaluation
CompileTimeErrorCode.CONFLICTING_CONSTRUCTOR_AND_STATIC_GETTER: needs evaluation; new in 2.15
CompileTimeErrorCode.CONFLICTING_CONSTRUCTOR_AND_STATIC_METHOD: needs evaluation
CompileTimeErrorCode.CONFLICTING_CONSTRUCTOR_AND_STATIC_SETTER: needs evaluation; new in 2.15
CompileTimeErrorCode.CONFLICTING_FIELD_AND_METHOD: needs evaluation
CompileTimeErrorCode.CONFLICTING_GENERIC_INTERFACES: needs evaluation
CompileTimeErrorCode.CONFLICTING_METHOD_AND_FIELD: needs evaluation
CompileTimeErrorCode.CONFLICTING_STATIC_AND_INSTANCE: needs evaluation
CompileTimeErrorCode.CONFLICTING_TYPE_VARIABLE_AND_CLASS: needs evaluation
CompileTimeErrorCode.CONFLICTING_TYPE_VARIABLE_AND_EXTENSION: needs evaluation
CompileTimeErrorCode.CONFLICTING_TYPE_VARIABLE_AND_MEMBER_CLASS: needs evaluation
CompileTimeErrorCode.CONFLICTING_TYPE_VARIABLE_AND_MEMBER_EXTENSION: needs evaluation
CompileTimeErrorCode.CONFLICTING_TYPE_VARIABLE_AND_MEMBER_MIXIN: needs evaluation
CompileTimeErrorCode.CONFLICTING_TYPE_VARIABLE_AND_MIXIN: needs evaluation
CompileTimeErrorCode.CONST_CONSTRUCTOR_FIELD_TYPE_MISMATCH: needs evaluation
CompileTimeErrorCode.CONST_CONSTRUCTOR_PARAM_TYPE_MISMATCH: needs evaluation
CompileTimeErrorCode.CONST_CONSTRUCTOR_THROWS_EXCEPTION: needs evaluation
CompileTimeErrorCode.CONST_CONSTRUCTOR_WITH_FIELD_INITIALIZED_BY_NON_CONST: needs evaluation
CompileTimeErrorCode.CONST_CONSTRUCTOR_WITH_MIXIN_WITH_FIELD: needs evaluation
CompileTimeErrorCode.CONST_CONSTRUCTOR_WITH_MIXIN_WITH_FIELDS: needs evaluation
CompileTimeErrorCode.CONST_CONSTRUCTOR_WITH_NON_CONST_SUPER: needs evaluation
CompileTimeErrorCode.CONST_CONSTRUCTOR_WITH_NON_FINAL_FIELD: needs evaluation
CompileTimeErrorCode.CONST_DEFERRED_CLASS: needs evaluation
CompileTimeErrorCode.CONST_EVAL_THROWS_EXCEPTION: needs evaluation
CompileTimeErrorCode.CONST_EVAL_THROWS_IDBZE: needs evaluation
CompileTimeErrorCode.CONST_EVAL_TYPE_BOOL: needs evaluation
CompileTimeErrorCode.CONST_EVAL_TYPE_BOOL_INT: needs evaluation
CompileTimeErrorCode.CONST_EVAL_TYPE_BOOL_NUM_STRING: needs evaluation
CompileTimeErrorCode.CONST_EVAL_TYPE_INT: needs evaluation
CompileTimeErrorCode.CONST_EVAL_TYPE_NUM: needs evaluation
CompileTimeErrorCode.CONST_EVAL_TYPE_TYPE: needs evaluation
CompileTimeErrorCode.CONST_FIELD_INITIALIZER_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.CONST_INITIALIZED_WITH_NON_CONSTANT_VALUE: has fix(es)
CompileTimeErrorCode.CONST_INITIALIZED_WITH_NON_CONSTANT_VALUE_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.CONST_INSTANCE_FIELD: has fix(es)
CompileTimeErrorCode.CONST_MAP_KEY_EXPRESSION_TYPE_IMPLEMENTS_EQUALS: needs evaluation
CompileTimeErrorCode.CONST_NOT_INITIALIZED: needs evaluation
CompileTimeErrorCode.CONST_SET_ELEMENT_TYPE_IMPLEMENTS_EQUALS: needs evaluation
CompileTimeErrorCode.CONST_SPREAD_EXPECTED_LIST_OR_SET: needs evaluation
CompileTimeErrorCode.CONST_SPREAD_EXPECTED_MAP: needs evaluation
CompileTimeErrorCode.CONST_WITH_NON_CONST: has fix(es)
CompileTimeErrorCode.CONST_WITH_NON_CONSTANT_ARGUMENT: needs evaluation
CompileTimeErrorCode.CONST_WITH_NON_TYPE: has fix(es)
CompileTimeErrorCode.CONST_WITH_TYPE_PARAMETERS: needs evaluation
CompileTimeErrorCode.CONST_WITH_TYPE_PARAMETERS_CONSTRUCTOR_TEAROFF: needs evaluation; new in 2.15
CompileTimeErrorCode.CONST_WITH_TYPE_PARAMETERS_FUNCTION_TEAROFF: needs evaluation; new in 2.15
CompileTimeErrorCode.CONST_WITH_UNDEFINED_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.CONST_WITH_UNDEFINED_CONSTRUCTOR_DEFAULT: needs evaluation
CompileTimeErrorCode.CONTINUE_LABEL_ON_SWITCH: needs evaluation
CompileTimeErrorCode.COULD_NOT_INFER: needs evaluation
CompileTimeErrorCode.DEFAULT_LIST_CONSTRUCTOR: has fix(es)
CompileTimeErrorCode.DEFAULT_VALUE_IN_REDIRECTING_FACTORY_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.DEFAULT_VALUE_ON_REQUIRED_PARAMETER: needs evaluation
CompileTimeErrorCode.DEFERRED_IMPORT_OF_EXTENSION: needs evaluation
CompileTimeErrorCode.DEFINITELY_UNASSIGNED_LATE_LOCAL_VARIABLE: needs evaluation
CompileTimeErrorCode.DISALLOWED_TYPE_INSTANTIATION_EXPRESSION: needs fix; new in 2.15
CompileTimeErrorCode.DUPLICATE_CONSTRUCTOR_DEFAULT: needs evaluation
CompileTimeErrorCode.DUPLICATE_CONSTRUCTOR_NAME: needs evaluation
CompileTimeErrorCode.DUPLICATE_DEFINITION: needs evaluation
CompileTimeErrorCode.DUPLICATE_FIELD_FORMAL_PARAMETER: needs evaluation
CompileTimeErrorCode.DUPLICATE_NAMED_ARGUMENT: needs evaluation
CompileTimeErrorCode.DUPLICATE_PART: needs evaluation
CompileTimeErrorCode.ENUM_CONSTANT_SAME_NAME_AS_ENCLOSING: needs evaluation
CompileTimeErrorCode.EQUAL_ELEMENTS_IN_CONST_SET: needs evaluation
CompileTimeErrorCode.EQUAL_KEYS_IN_CONST_MAP: needs evaluation
CompileTimeErrorCode.EXPECTED_ONE_LIST_TYPE_ARGUMENTS: needs evaluation
CompileTimeErrorCode.EXPECTED_ONE_SET_TYPE_ARGUMENTS: needs evaluation
CompileTimeErrorCode.EXPECTED_TWO_MAP_TYPE_ARGUMENTS: needs evaluation
CompileTimeErrorCode.EXPORT_INTERNAL_LIBRARY: needs evaluation
CompileTimeErrorCode.EXPORT_LEGACY_SYMBOL: needs evaluation
CompileTimeErrorCode.EXPORT_OF_NON_LIBRARY: needs evaluation
CompileTimeErrorCode.EXPRESSION_IN_MAP: needs evaluation
CompileTimeErrorCode.EXTENDS_DEFERRED_CLASS: needs evaluation
CompileTimeErrorCode.EXTENDS_DISALLOWED_CLASS: needs evaluation
CompileTimeErrorCode.EXTENDS_NON_CLASS: has fix(es)
CompileTimeErrorCode.EXTENDS_TYPE_ALIAS_EXPANDS_TO_TYPE_PARAMETER: needs evaluation
CompileTimeErrorCode.EXTENSION_AS_EXPRESSION: needs evaluation
CompileTimeErrorCode.EXTENSION_CONFLICTING_STATIC_AND_INSTANCE: needs evaluation
CompileTimeErrorCode.EXTENSION_DECLARES_MEMBER_OF_OBJECT: needs evaluation
CompileTimeErrorCode.EXTENSION_OVERRIDE_ACCESS_TO_STATIC_MEMBER: has fix(es)
CompileTimeErrorCode.EXTENSION_OVERRIDE_ARGUMENT_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.EXTENSION_OVERRIDE_WITH_CASCADE: needs evaluation
CompileTimeErrorCode.EXTENSION_OVERRIDE_WITHOUT_ACCESS: needs evaluation
CompileTimeErrorCode.EXTERNAL_FIELD_CONSTRUCTOR_INITIALIZER: needs evaluation
CompileTimeErrorCode.EXTERNAL_FIELD_INITIALIZER: needs evaluation
CompileTimeErrorCode.EXTERNAL_VARIABLE_INITIALIZER: needs evaluation
CompileTimeErrorCode.EXTRA_POSITIONAL_ARGUMENTS: has fix(es)
CompileTimeErrorCode.EXTRA_POSITIONAL_ARGUMENTS_COULD_BE_NAMED: has fix(es)
CompileTimeErrorCode.FIELD_INITIALIZED_BY_MULTIPLE_INITIALIZERS: needs evaluation
CompileTimeErrorCode.FIELD_INITIALIZED_IN_INITIALIZER_AND_DECLARATION: needs evaluation
CompileTimeErrorCode.FIELD_INITIALIZED_IN_PARAMETER_AND_INITIALIZER: needs evaluation
CompileTimeErrorCode.FIELD_INITIALIZER_FACTORY_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.FIELD_INITIALIZER_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.FIELD_INITIALIZER_OUTSIDE_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.FIELD_INITIALIZER_REDIRECTING_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.FIELD_INITIALIZING_FORMAL_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.FINAL_INITIALIZED_IN_DECLARATION_AND_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.FINAL_NOT_INITIALIZED: has fix(es)
CompileTimeErrorCode.FINAL_NOT_INITIALIZED_CONSTRUCTOR_1: has fix(es)
CompileTimeErrorCode.FINAL_NOT_INITIALIZED_CONSTRUCTOR_2: has fix(es)
CompileTimeErrorCode.FINAL_NOT_INITIALIZED_CONSTRUCTOR_3_PLUS: has fix(es)
CompileTimeErrorCode.FOR_IN_OF_INVALID_ELEMENT_TYPE: needs evaluation
CompileTimeErrorCode.FOR_IN_OF_INVALID_TYPE: needs evaluation
CompileTimeErrorCode.FOR_IN_WITH_CONST_VARIABLE: needs evaluation
CompileTimeErrorCode.GENERIC_FUNCTION_TYPE_CANNOT_BE_BOUND: needs evaluation
CompileTimeErrorCode.GENERIC_FUNCTION_TYPE_CANNOT_BE_TYPE_ARGUMENT: needs evaluation
CompileTimeErrorCode.GENERIC_METHOD_TYPE_INSTANTIATION_ON_DYNAMIC: needs fix; new in 2.15
CompileTimeErrorCode.GETTER_NOT_ASSIGNABLE_SETTER_TYPES: needs evaluation
CompileTimeErrorCode.GETTER_NOT_SUBTYPE_SETTER_TYPES: needs evaluation
CompileTimeErrorCode.IF_ELEMENT_CONDITION_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.ILLEGAL_ASYNC_GENERATOR_RETURN_TYPE: has fix(es)
CompileTimeErrorCode.ILLEGAL_ASYNC_RETURN_TYPE: has fix(es)
CompileTimeErrorCode.ILLEGAL_SYNC_GENERATOR_RETURN_TYPE: has fix(es)
CompileTimeErrorCode.IMPLEMENTS_DEFERRED_CLASS: needs evaluation
CompileTimeErrorCode.IMPLEMENTS_DISALLOWED_CLASS: needs evaluation
CompileTimeErrorCode.IMPLEMENTS_NON_CLASS: has fix(es)
CompileTimeErrorCode.IMPLEMENTS_REPEATED: needs evaluation
CompileTimeErrorCode.IMPLEMENTS_SUPER_CLASS: needs evaluation
CompileTimeErrorCode.IMPLEMENTS_TYPE_ALIAS_EXPANDS_TO_TYPE_PARAMETER: needs evaluation
CompileTimeErrorCode.IMPLICIT_THIS_REFERENCE_IN_INITIALIZER: needs evaluation
CompileTimeErrorCode.IMPLICIT_UNNAMED_SUPER_CONSTRUCTOR_INVOCATION_MISSING_REQUIRED_ARGUMENT: has fix(es)
CompileTimeErrorCode.IMPLICIT_UNNAMED_SUPER_CONSTRUCTOR_INVOCATION_NOT_ENOUGH_POSITIONAL_ARGUMENTS: has fix(es)
CompileTimeErrorCode.IMPORT_INTERNAL_LIBRARY: needs evaluation
CompileTimeErrorCode.IMPORT_OF_NON_LIBRARY: needs evaluation
CompileTimeErrorCode.INCONSISTENT_CASE_EXPRESSION_TYPES: needs evaluation
CompileTimeErrorCode.INCONSISTENT_INHERITANCE: needs evaluation
CompileTimeErrorCode.INCONSISTENT_INHERITANCE_GETTER_AND_METHOD: needs evaluation
CompileTimeErrorCode.INCONSISTENT_LANGUAGE_VERSION_OVERRIDE: needs evaluation
CompileTimeErrorCode.INITIALIZER_FOR_NON_EXISTENT_FIELD: needs evaluation
CompileTimeErrorCode.INITIALIZER_FOR_STATIC_FIELD: needs evaluation
CompileTimeErrorCode.INITIALIZING_FORMAL_FOR_NON_EXISTENT_FIELD: has fix(es)
CompileTimeErrorCode.INSTANCE_ACCESS_TO_STATIC_MEMBER: has fix(es)
CompileTimeErrorCode.INSTANCE_ACCESS_TO_STATIC_MEMBER_OF_UNNAMED_EXTENSION: needs evaluation
